fragrance_id,term_id,note_type
1,15,Top
1,41,Middle
1,39,Middle
1,2,Base
1,50,Base
1,60,Base
2,31,Top
2,12,Top
2,42,Top
2,76,Middle
2,78,Middle
2,11,Middle
2,72,Base
2,17,Base
2,75,Base
3,12,Top
3,33,Top
3,76,Middle
3,60,Middle
3,4,Middle
3,51,Base
3,72,Base
3,67,Base
3,26,Base
4,33,Top
4,23,Top
4,11,Top
4,15,Middle
4,31,Middle
4,55,Middle
4,15,Middle
4,31,Middle
4,55,Middle
4,2,Base
4,71,Base
4,17,Base
5,1,Top
5,80,Top
5,53,Top
5,12,Top
5,42,Top
5,38,Middle
5,66,Middle
5,43,Middle
5,74,Base
5,75,Base
5,60,Base
5,68,Base
5,2,Base
5,51,Base
6,62,Top
6,47,Top
6,44,Top
6,61,Top
6,12,Top
6,45,Top
6,43,Middle
6,73,Middle
6,27,Middle
6,66,Middle
6,56,Middle
6,76,Middle
6,51,Base
6,74,Base
6,13,Base
6,17,Base
7,62,Top
7,64,Top
7,55,Top
7,39,Middle
7,74,Base
7,60,Base
7,17,Base
8,39,Top
8,73,Middle
9,62,Top
9,38,Middle
9,39,Middle
9,55,Middle
9,74,Base
9,60,Base
9,72,Base
10,33,Top
10,76,Middle
10,39,Middle
10,51,Base
10,74,Base
11,12,Top
11,56,Middle
11,39,Middle
11,66,Middle
11,27,Middle
11,60,Base
11,51,Base
11,74,Base
12,12,Top
12,42,Top
12,73,Middle
12,39,Middle
12,55,Middle
12,72,Base
12,74,Base
12,68,Base
12,2,Base
12,51,Base
12,60,Base
12,17,Base
13,12,Top
13,64,Middle
13,30,Middle
13,60,Middle
13,4,Base
13,17,Base
14,12,Top
14,39,Middle
14,60,Middle
14,54,Base
14,51,Base
14,3,Base
14,74,Base
15,33,Top
15,42,Top
15,48,Top
15,64,Top
15,33,Top
15,31,Middle
15,39,Middle
15,75,Base
15,17,Base
15,51,Base
15,68,Base
16,15,Top
16,2,Middle
16,72,Middle
16,58,Base
16,68,Base
16,75,Base
17,12,Top
17,31,Top
17,30,Middle
17,75,Base
17,17,Base
17,72,Base
17,2,Base
18,42,Top
18,12,Top
18,39,Top
18,45,Top
18,53,Top
18,61,Middle
18,14,Middle
18,27,Middle
18,76,Middle
18,66,Middle
18,51,Base
18,17,Base
18,54,Base
18,60,Base
18,2,Base
19,48,Top
19,12,Top
19,55,Middle
19,74,Base
19,72,Base
19,2,Base
19,17,Base
19,68,Base
20,48,Top
20,42,Top
20,30,Middle
20,4,Middle
20,72,Middle
20,17,Base
20,74,Base
20,75,Base
20,60,Base
21,12,Top
21,42,Top
21,54,Middle
21,30,Middle
21,66,Middle
21,72,Base
21,68,Base
22,67,Top
22,39,Top
22,2,Middle
22,3,Middle
22,34,Middle
22,17,Base
22,4,Base
22,54,Base
23,42,Top
23,12,Top
23,74,Base
23,68,Base
23,2,Base
24,15,Top
24,76,Middle
24,38,Middle
24,68,Base
24,17,Base
24,41,Base
24,4,Base
25,64,Top
25,42,Top
25,53,Top
25,21,Middle
25,75,Middle
25,71,Base
25,74,Base
26,12,Top
26,45,Top
26,42,Top
26,53,Middle
26,39,Middle
26,2,Base
26,51,Base
27,45,Top
27,12,Top
27,11,Middle
27,38,Middle
27,75,Base
27,60,Base
28,67,Top
28,58,Middle
28,60,Base
28,51,Base
29,64,Top
29,63,Top
29,39,Middle
29,53,Middle
29,80,Middle
29,68,Base
29,17,Base
29,75,Base
30,33,Top
30,39,Middle
30,51,Base
30,38,Base
30,17,Base
30,2,Base
31,62,Top
31,45,Top
31,39,Middle
31,60,Base
32,42,Top
32,17,Top
32,39,Middle
32,17,Base
32,51,Base
32,2,Base
33,27,Top
33,66,Middle
33,43,Middle
33,44,Middle
33,17,Base
33,2,Base
34,55,Top
34,39,Middle
34,60,Base
34,66,Base
34,17,Base
35,66,Top
35,45,Top
35,76,Middle
35,39,Middle
35,74,Base
35,51,Base
36,43,Top
36,62,Middle
36,51,Base
37,62,Top
37,12,Top
37,64,Top
37,66,Middle
37,39,Middle
37,51,Base
37,74,Base
37,60,Base
37,17,Base
38,42,Top
38,12,Top
38,45,Top
38,15,Top
38,43,Middle
38,39,Middle
38,76,Middle
38,66,Middle
38,27,Middle
38,51,Base
38,17,Base
38,68,Base
38,54,Base
38,2,Base
39,48,Top
39,14,Top
39,23,Top
39,68,Middle
39,53,Middle
39,30,Middle
39,39,Middle
39,51,Base
39,54,Base
39,17,Base
39,71,Base
39,3,Base
40,55,Top
40,42,Top
40,48,Top
40,54,Middle
40,60,Base
41,27,Top
41,47,Top
41,66,Top
41,14,Top
41,43,Middle
41,51,Base
41,73,Base
41,17,Base
41,68,Base
41,2,Base
42,53,Top
42,15,Top
42,38,Middle
42,76,Middle
42,30,Middle
42,2,Base
42,17,Base
42,60,Base
42,68,Base
43,33,Top
43,45,Top
43,15,Top
43,30,Middle
43,60,Base
43,17,Base
43,68,Base
44,45,Top
44,63,Top
44,17,Base
44,21,Base
44,60,Base
44,2,Base
45,66,Top
45,76,Top
45,58,Base
45,74,Base
45,2,Base
45,17,Base
46,45,Top
46,12,Top
46,15,Middle
46,74,Base
46,68,Base
46,2,Base
46,51,Base
47,12,Top
47,38,Middle
47,39,Middle
47,66,Middle
47,74,Base
47,68,Base
47,60,Base
48,15,Top
48,45,Top
48,55,Middle
48,72,Base
48,2,Base
48,41,Base
49,45,Top
49,63,Top
49,55,Middle
49,39,Middle
49,74,Base
49,51,Base
49,17,Base
50,42,Top
50,12,Middle
50,38,Middle
50,45,Middle
50,51,Base
50,79,Base
51,12,Top
51,2,Middle
51,58,Base
51,41,Base
51,68,Base
52,66,Top
52,60,Middle
52,68,Middle
52,80,Middle
52,2,Base
52,17,Base
52,74,Base
53,12,Top
53,53,Top
53,30,Middle
53,39,Middle
53,66,Middle
53,80,Middle
53,17,Base
53,20,Base
53,26,Base
53,41,Base
53,60,Base
53,68,Base
53,74,Base
54,71,Top
54,67,Top
54,34,Middle
54,17,Base
54,68,Base
54,74,Base
54,41,Base
55,53,Top
55,12,Top
55,64,Top
55,23,Top
55,55,Middle
55,39,Middle
55,66,Middle
55,38,Middle
55,74,Base
55,51,Base
55,20,Base
56,12,Top
56,42,Top
56,17,Top
56,45,Top
56,38,Middle
56,60,Middle
56,75,Middle
56,39,Middle
56,66,Middle
56,74,Base
56,26,Base
56,41,Base
56,20,Base
56,68,Base
56,72,Base
56,51,Base
57,11,Top
57,23,Top
57,12,Top
57,41,Middle
57,30,Middle
57,39,Middle
57,66,Middle
57,71,Base
57,54,Base
57,60,Base
57,17,Base
57,75,Base
57,51,Base
57,2,Base
58,15,Top
58,17,Middle
58,12,Middle
58,75,Base